id,rating,sentiment_label,sentiment_score,verbatim,manual_label,justification_courte
867,4,Neutre,0.49,"J'ai enfin pu retrouver un produit que je cherchais depuis longtemps, qui n'est plus disponible dans les magasins, ou qui est beaucoup trop cher sur internet. Le service de livraison à deux pas de chez moi est au top !",Positif,"Avis mixte, note 4/5 → Positif"
924,4,Positif,0.49,super pour les commandes mais compliqué pour les retours qu'on souhaite modifié ...,Positif,Satisfaction exprimée: 'super'
1038,5,Neutre,0.49,Tip Top comme sur la commande.,Positif,Signal positif fort: 'tip top'
1081,5,Neutre,0.49,Super rapport qualité prix,Positif,Satisfaction exprimée: 'super'
1165,5,Neutre,0.49,Très bon site de vente privée avec des articles à très bon prix et doté d'un service client exceptionnel ! De loin le meilleur avec lequel j'ai échangé à plusieurs reprises : ils recherchent toujours des solutions adaptées afin de résoudre les problèmes des clients : extraordinaire ! (Rien à voir avec d'autres services clients qui sont bornés et n'offre aucune solution ! Un grand bravo à cette entreprise et merci pour le professionnalisme 😊 Au TOP !!! Excellentes Expériences !,Positif,Signal positif fort: 'excellent'
470,2,Négatif,0.5,Délai de livraison beaucoup trop long et de plus avec beaucoup de retard .,Négatif,Déception/problème: 'retard'
593,2,Neutre,0.5,"Moyennement satisfaite voire pas du tout - Retard dans la livraison et retour d’articles payant 📦

3 bijoux achetés dont 2 qui feront l’objet d’un retour, très déçu de la qualité des produits qui ne ressemblent en rien à la photo de départ. Marque Nakkash",Négatif,Signal négatif fort: 'très déçu'
250,1,Neutre,0.51,Vous envoyez un bon d’achat pour les anniversaire mais c’est impossible de le télécharger.,Négatif,Sans signal lexical; note 1/5 → insatisfaction implicite
383,1,Neutre,0.51,"Première expérience et gros retard de livraison. Le geste commercial pour ce désagrément n’a pas été proposé directement. J’ai dû le demander.. concernant la livraison, le déballage était prévu dans la prestation. Néanmoins les livreurs ont posé le colis dans le salon et allaient partir si je ne leur demandais pas d’ouvrir le colis pour le déballer. Le livreur a alors ouvert le colis mais n’a sorti le produit. Donc la prestation a été réalisé à moitié. Donc déçu pour cette première expérience.",Négatif,Déception/problème: 'déçu'
978,4,Neutre,0.51,Bien mais pas top,Positif,Satisfaction exprimée: 'top'
404,1,Neutre,0.52,"Catastrophique
Canapé NIMBA commandé le 17 janvier avec une première date de livraison le 05 mars. Date non respectée et report au 27 mars. Service client catastrophique et responsable également. A 4 jours de la soit disant livraison, ils n'ont toujours pas de visualisation sur les produits.. D'autant plus que de nombreux avis Trustpilot témoigne des problèmes avec cette marque qui a des jours et des jours de retard voir même des clients qui ne reçoivent jamais le produit.
Bref, je déconseille fortement.. le SAV est incompétent",Négatif,Signal négatif fort: 'catastrophique'
411,1,Neutre,0.52,"PASSEZ VOTRE CHEMIN, VOUS ALLEZ VOUS FAIRE AVOIR!! j'ai commandé un réfrigérateur sur showroom privée, déjà je m'étais organiser pour être chez moi au moment de la livraison puisque j'étais censé recevoir un frigo, la date de livraison a bougé à 3 reprises, j'ai donc du m'organiser à 3 reprises avec mon travail! au final, je ne reçois pas un frigo mais un appareil de cuisson type airfryer. Je me dis que l'erreur est humaine et qu'ils ont du se tromper, donc je fais une réclamation au vendeur et à showroom (déjà très compliqué de rentrer en contact avec showroom), le vendeur CECOTEC n'a pas accepté de régler mon problème car ""c'est une erreur de saisie sur la plateforme"" et showroom eux ne m'ont jamais répondu malgré mes nombreuses relances. c'est inacceptable d'avoir à payer pour les erreurs de grandes plateforme comme celle-ci et pour les erreurs des autres tout court!!!! Méfiez vous de cette plateforme, ce n'est pas la première fois que j'ai un problème avec eux et au cas ou ca vous arrive, je vous conseil d'ouvrir un dossier chez Signal Conso pour signaler leurs annoncent douteuses et leur manque d'honnêteté! Ils vont tellement loin dans leur malhonnêteté que quand j'ai souhaiter leur mettre un mauvais avis sur ma commande via leur site, c'était impossible et mon avis était bloqué pffff",Négatif,Signal négatif fort: 'inacceptable'
646,3,Neutre,0.52,"Commande longue a arrivée , produits pas terrible tailles et détails a revoir sur les annonces , pas top pour ce coup",Neutre,"Avis mixte équilibré, note 3/5"
733,3,Neutre,0.52,café super MAIS malheureusement le carton était vraiment trop grand pour le casier ce qui fait que j'ai passé plus d'un quart d'heure à le sortir avec l'aide d'une jeune femme. Sinon je suis satisfaite de showroom.,Neutre,"Avis mixte équilibré, note 3/5"
966,4,Neutre,0.52,"Commande Lévis - Commande Levi’s reçue avec un peu de retard, mais bien arrivée et conforme.
La qualité est au rendez-vous et je suis satisfaite de mon achat.
Le délai pourrait être amélioré, mais l’expérience reste positive.",Positif,"Avis mixte, note 4/5 → Positif"
291,1,Neutre,0.53,"Édit : on nous a proposé une solution adaptée mais il a fallut payer en plus (au final pas le choix car c’était soit ca, soit on laissait le bébé sur le parking) Nous avions donc réservé des logements pour 10 personnes, ils ont fait leur sauce et adapté de manière à ce que seulement neuf ne rentrent et nous avons dû rajouter 90€! Aucun respect du client ni même des conditions! Pour ma part vraiment fini ce site mensonger
Showroomprive est vraiment lunaire comme site…… ne perdez ni votre temps ni votre argent eh allez sur des sites fiables et sérieux!!!

A fuir impérativement…. Réservation faite hier soir pour 10 personnes au mois de juin (7 adultes, 2 enfants et 1 bébé).
Nous choisissons des chambres adaptées et après la réservation nous nous rendons compte que la composition des chambres a été modifiée! Nous nous retrouvons donc avec 3 logements 3 personnes pour 10!!!!!! Showroomprive se renseigne mais pense ne rien pouvoir faire (à mourir de rire quand même car quand on réserve pour 10 on ne doit pas se retrouver avec un logement pour 9).
J’ai joins directement la résidence qui me confirme qu’il sera impossible d’être à 10 dans des logement adaptés à 9 personnes car ce n’est pas autorisé!
En attendant nous attendons un retour de Showroom qui nous a répondu de manière très hautaine au téléphone et nous a même menti en nous disant qu’il n’y avait plus de logement comme choisi initialement alors que ceux ci sont encore disponible sur leur site!
De quel droit changer la composition et ne pas respecter ses engagements ? Pour moi c’est clairement de l’escroquerie et surtout c’est totalement illégal
Donc un conseil fuyez
Je commandais régulièrement mais pour ma part ce sera clairement la dernière fois! Tout simplement inacceptable et inadmissible de se moquer ainsi des clients!
Il aurait été tellement simple d’avoir à faire à des gens de bonne foi et une solution très simple aurait pu être apportée mais on nous propose uniquement de patienter 72h en nous disant que probablement il n’y aura rien à faire….",Négatif,Signal négatif fort: 'inadmissible'
469,2,Neutre,0.53,"Retard/annulation commande - Ma commande a eu plus d'un mois de retard, et une partie de celle-ci a été annulée sans aucune explication.
Après avoir contacté le service client pour avoir des informations. Ils ont fini par me proposer une compensation pour ce retard, l'équivalent du remboursement des frais d'envoi sur ma prochaine commande, valable 3 mois ... Ridicule !
Malgré mon mécontentement, je n'ai pas eu de compensation décente pour ce retard /annulation.
C'est un problème récurent du site, comme vous pouvez le voir dans les commentaires précédents.",Négatif,Signal négatif fort: 'nul'
532,2,Neutre,0.53,Changement de relais livraison avec 3 jours de retard,Négatif,Déception/problème: 'retard'
965,4,Neutre,0.53,"Retard de livraison de presque une semaine. Pendant ce retard, Mondial replay annonce l’arrivée dans le looker demandé, puis annonce que la livraison est repoussée. Signale ensuite, avoir déposé le colis dans un autre looker loin de chez moi. Un autre mail arrive pour nous dire qu’une autre commande est arrivée dans le premier looker …. Quand nous nous rendons au looker éloigné, nous n’avons pas accès à cet appareil car enfermé dans le commerce (c’est utile ça !), nous allons au second, et bien là, c’est ma commande qui s’y trouve. Merci Mondial replay pour tout ce pataquès. Autrement, pas de souci sur ma commande.",Négatif,Déception/problème: 'retard'
1051,5,Neutre,0.53,"L’un de mes sites préférés dans le domaine, moi j’adore les bonnes affaires et un service client au top, 👌 je commande sur ce site depuis des années et il ne fait que s’améliorer. A cause d’eux je vais devenir pauvre 😅 achetez en toute confiance 😴",Positif,Signal positif fort: 'service client au top'
1099,5,Neutre,0.53,"Livraison au top. Produit très bien emballé et conforme à la photo
Je recommande ce site les yeux fermés pour leur sérieux",Positif,Signal positif fort: 'les yeux fermés'
344,1,Neutre,0.54,"Le service client est à fuir, j’ai voulu passer une commande avec deux carte cadeaux malheureusement on ne peut en utiliser qu’une par une (j’aurais dû lire les conditions c’est ok). Sauf que leur système n’a pas valider ma commande mais a quand même bloquer les 50€ de ma carte cadeaux. Lorsque le service client m’appelle je demande un geste commercial pour le désagrément et aucun geste est fait car selon eux « c’est la faute de personne » alors que c’est leur système le problème. Sachant que donc pour utiliser mes deux cartes il faudra que je passe 2 commandes séparé et donc payer deux fois les 5€ de livraison ? Le service client a part me culpabiliser moi et se dédouaner de toute responsabilité n’a servit à rien.",Négatif,Signal négatif fort: 'à fuir'
525,2,Neutre,0.54,"Livraison négative - Quand j'ai passé ma commande il était indiqué que le transporteur prendrait contact avec moi pour programmer la livraison.
Et bien malheureusement non et impossible de demander un jour de livraison précis.
Bref les transporteurs n'en ont rien à faire.",Négatif,"Avis mixte, note 2/5 → Négatif"
885,4,Neutre,0.54,"Très bien. - Tout est parfait à l'exception du délai de livraison que je trouve un peu long si on compare à celui d'un autre grand groupe américain qui nous livre du jour au lendemain. Mais c'est sûr que faire rouler un semi-remorque pour livrer du jour au lendemain un seul petit colis et ne pas décevoir son acheteur, ce n'est guère écologique...",Positif,Signal positif fort: 'parfait'
1031,5,Neutre,0.54,"Commande expédiée très vite. La qualité est là rien à dire. Merci aux vendeurs.
Mon fils pré ado qui est très exigeant et super content de ses habits. Je recommande",Positif,Signal positif fort: 'rien à dire'
1170,5,Neutre,0.54,Commande validée et surtout à refaire - Le site est très claire et le stock très bien gérer. La taille des vetements correspond à mes attentes . Le délai de livraison et l’emballage au top .,Positif,Satisfaction exprimée: 'au top'
368,1,Neutre,0.55,"Buffet zewood - Je suis cliente de showroom privé depuis longtemps et j'ai toujours été très satisfaite
Jusqu'à ce que je commande un buffet. Que j'ai attendu trop longtemps et qu'il arrive avec des rayures. J'ai quand même dépensé pas loins de 800€ pour ce buffet.
J'ai tout de suite envoyé les photos a meublerama le prestataire de showroom privé. J'ai appelé plusieur fois showroom privé. Et la reponse était toujours la meme c'est le prestataire qui dois prendre contact avec vous etc...
Jusqu'à hier ou la repose de l'interlocutrice était lunaire. D'abord elle ma dit que j'avais envoyé la réclamation que le 27 Mars ,alors que je l'ai envoyé le 19Mars jours de réceptions de mon colis .Et ensuite elle me dit .C'est rien de grave c'est pas comme si le meuble etait cassé ou défectueux ? C'est juste des petite rayures ! Non mais ? Comment peut-on repondre ça. Il y a une garantie et je veux qu'elle soit appliquée.
J'ai dépensé beaucoup d'argent chez showroom privé
J'étais une très bonne cliente
Mais plus jamais je dépenserais un centime chez eux .Par ce que quand tout vas bien c'est top
Mais des qu'il y a un problème il y a plus personne 😡😡",Positif,Signal positif fort: 'très satisfait'
597,2,Neutre,0.55,"Commande de lustres - Du retard dans la livraison des produits.
Les lustres ne correspondent pas vraiment à ceux qui étaient sur le site internet et c’est dommage.",Négatif,Déception/problème: 'retard'
642,3,Neutre,0.55,D'entree dites moi de quellecommande il est question!!! - je ne sais pas de quelle commande il est question.;;Mais aujourd'hui je suis outrée de voir que Showroomprive que j'appréciais beaucoup me facture plus de 6€ pour renvoyer un article ...qui est abusivement trop grand. Je vais donc continuer a aller plutot chez les chinois! au moins chez eux les retours sont gratuits!,Négatif,Signal négatif fort: 'outré'
333,1,Neutre,0.56,"Malhonnêteté, remboursement non effectué - j'ai renvoyé un pantalon molly bracken de très belle qualité mais trop grand pour moi. Showroomprivé a refusé de rembourser prétextant une rétraction et comme c'était un retour l'employée a dit que j'avais mis un soutien gorge dans le colis à la place du pantalon ! Je ne suis ni menteuse, ni voleuse, cela fait plus de 15 que je suis cliente... j'ai bien renvoyé ce beau pantalon. Showroom a donné raison à son employé(e).
Pour moi c'est une arnaque que je signale à la répression des fraudes. Il y en aura de plus en plus.",Négatif,"Avis mixte, note 1/5 → Négatif"
478,2,Neutre,0.56,"Beaucoup moins bien qu'avant - Commande partiellement expédiée et en retard.
Service client tout juste moyen.
J'étais un très fidèle client mais très déçu de cette expérience.",Négatif,Signal négatif fort: 'très déçu'
601,2,Neutre,0.56,"Retour payant alors que vos concurrents sont gratuits! - Le délai trop long, les tailles qui ne sont pas justes: pour les chaussures un 41 chez Vans est trop petit( nubuck Old School ROSE) alors que toujours chez Vans c'est la bonne taille( nubuck Brookyn LS BORDEAUX) et en plus le retour est payant alors que c'est très mal indiqué! De plus ce n'est pas spécifié que les retours sont payants alors qu'il y a visiblement un problème de fabrication puisque la taille n'est pas respectée!!. Et J'attends encore le remboursement 7 jours après!",Négatif,Déception/problème: 'délai trop long'
664,3,Neutre,0.56,"Les produits que j’ai reçu sont conformes à ma commande.
Ce qui m’à déçu, c'est le délai de livraison ; en plus du délai initial s’est rajouté un retard dû au fournisseur de presque quinze jours. Certes, showroom m’à averti mais c’est bien long quand même",Négatif,Déception/problème: 'déçu'
789,3,Neutre,0.56,"Positive et impeccable - RAS
Appel impeccable et la personne a répondu à mes attentes de façon positives",Positif,Signal positif fort: 'impeccable'
907,4,Neutre,0.56,Bonne expérience - Le site est pratique et facile a utilisé. Le service est top. Sauf attention a la livraisonv elle est chere pour etre deposer devant l'immeuble,Positif,Satisfaction exprimée: 'bonne expérience'
999,4,Neutre,0.56,Très bien. Tout est ok,Positif,Sans signal lexical; note 4/5 → satisfaction implicite
1093,5,Positif,0.56,Rien à redire toujours aussi parfait. Les prix sont très compétitifs et la livraison au top!!!!,Positif,Signal positif fort: 'parfait'
1185,5,Neutre,0.56,"Très bon site mais revoir délais d'envois ! - En fait 2 commandes passées récemment l'une au nom de mon conjoin, soit 6 articles OUTLET qui me ravissent. En effet, la qualité et la beauté des articles, sont au rendez-vous. Sur cette vente, il faut se dépêcher car les articles partent très vite. J'ai acheté 4 robes + 2 pantalons à un prix dérisoire soit environ 60€ sur des marques plutôt élitistes. Pour la 2e commande sur la vente Levi's=3 articles, je ne me prononce pour l'instant que sur les prix très attractifs car la livraison n'aura lieu que dans 1 mois ! : J'ai toujours du mal à comprendre, pourquoi les délais sont aussi longs car si les articles sont effectivement en stocks, ils devraient nous être acheminés rapidement ?? SHOWROOM n'est pas du tout performant à cet égard contrairement à d'autres Market Place bien plus réactifs même lorsque les vendeurs sont à l'étranger!. Je l'ai constaté souvent lors de commandes antérieures...Alors SHOWROOM, ameliorez vous pour mieux satisfaire votre clientèle. J'espère vivement que vous prendrez en compte ce grand message pour m'envoyer mes articles Levi's beaucoup plus rapidement. En vous remerciant par avance.",Positif,Signal positif fort: 'ravi'
239,1,Neutre,0.57,"Très mauvais Conditionnement.
Protection de l article quasi inexistant (carton plié pendant le transport heureusement que c était pas du verre du coup l article était déformé)
Les vis était en vrac dans le carton d ailleurs il en manquait une.
De plus au niveau du transport j avais choisi en relais pour être libre de récupérer mon article selon mes horaires et là message me disant que le relais choisi est indisponible on me fait patienter 1 semaine supplémentaire pour m indiqué un nouveau point (centre de tri postal)situé a 8km de chez moi avec des horaires d ouverture uniquement le matin
pour info il y a un centre de tri a 500 m de mon domicile ainsi qu une agence a 1km super logistique !!!!",Négatif,Signal négatif fort: 'très mauvais'
293,1,Neutre,0.57,"Les produits vendus ne correspondent absolument pas à la photo du produit présenté - Les produits vendus ne correspondent absolument pas à la photo du produit neuf présenté ! C'est inadmissible. L'assistant virtuel prétend qu'il est impossible de contacter le service client car ils ferment à 19 h, alors qu'il était 18 h. En général, ils remboursent, mais pas pour deux livraisons ! Même en cas d'arnaque, vous payez ! Je n'achèterai plus jamais rien chez eux. Numéro de commande : 344396029.",Négatif,Signal négatif fort: 'inadmissible'
515,2,Neutre,0.57,"Livraison trop longue (1mois après commande sur le site internet) + 5 jours de retard
Et en plus je ne suis pas satisfaite de mon produit difficile de mettre en place un retour encore une fois avec une livraison longue et avec de gros frais (50 euros de retour)",Négatif,"Avis mixte, note 2/5 → Négatif"
713,3,Neutre,0.57,"La commande a mis 3 semaines à arriver ce qui était prévu donc pas de souci, mais le carton était complètement éclaté et grand ouvert dans le locker!!! Tout était dedans et en bon état mais ce n' est pas du tout agréable.",Négatif,Déception/problème: 'souci'
734,3,Neutre,0.57,"Le site Showroom est top, au niveau du suivi de la commande et de la livraison.
En revanche, ce n'était pas la bonne taille....",Positif,Satisfaction exprimée: 'top'
756,3,Neutre,0.57,"Retard de livraison, pas de suivi de colis
Mais heureusement tout se finit bien j’ai reçu le colis",Neutre,"Avis mixte équilibré, note 3/5"
1142,5,Neutre,0.57,"Très joli paréo ! Tommy c'est une super marque, moderne et de très belle qualité.",Positif,Signal positif fort: 'très belle qualité'
320,1,Neutre,0.58,Commande en retard et moitié livrer je ne peux pas mettre 0 dommage,Négatif,Déception/problème: 'retard'
364,1,Neutre,0.58,"Depuis mi-février, je vis une expérience client très décevante sur le site Showroomprivé.

Mois de février 2026 , j’ai effectué un achat d’un montant de 93 € en utilisant une e-carte cadeau de 90 € que j’avais convertie pour être utilisée exclusivement sur le site. Au moment de régler le complément d’environ 3 €, le site a malheureusement planté lors du paiement.

J’ai donc tenté de refaire l’opération, mais cela a été impossible : le système m’indiquait que le montant de la e-carte cadeau avait déjà été utilisé, alors même que la commande n’avait jamais été finalisée.

J’ai immédiatement contacté le service client par e-mail. N’ayant pas de réponse, j’ai appelé le lendemain. On m’a simplement demandé de patienter. Quelques jours plus tard, j’ai reçu un message m’indiquant que les 90 € seraient recrédités sous 24 à 48 heures.

Malheureusement, ce recrédit n’a jamais eu lieu.

Depuis, malgré plusieurs relances par e-mail et plusieurs appels au service client, je n’ai obtenu aucune solution concrète. On me demande systématiquement de patienter, en m’expliquant que le dossier est traité par le service financier.

Aujourd’hui, plusieurs semaines après, je n’ai toujours ni remboursement, ni véritable suivi, ce qui est particulièrement décevant. En tant que client, j’ai le sentiment d’être laissé sans considération, alors que je suis victime d’un dysfonctionnement qui ne dépend absolument pas de moi.

Concrètement, j’ai l’impression d’avoir été privé de mes 90 €, sans solution ni délai clair.

Je partage donc cette expérience pour alerter les autres consommateurs. Pour ma part, je ne compte pas m’arrêter là : je poursuivrai les démarches nécessaires afin d’obtenir le remboursement de mon argent et la réparation du préjudice subi.

Ci dessous le réponse à mon avis le jour : Réponse : Showroomprive
8 mars 2026
Bonjour Giresse,

Je suis navré d'apprendre cela et tiens à vous présenter mes sincères excuses au nom de Showroomprivé pour cette déconvenue.

Après vérifications, je constate que votre dossier est en cours de traitement auprès de notre service financier et ce dernier fait le maximum afin de résoudre cette situation.

Afin de vous aider, je vais relancer ce dit service pour qu'il puisse vous recontacter au plus vite.

Je vous remercie pour votre compréhension.

Arimbola

Après plusieurs relances faites par mail et téléphone du client. Ma situation n’a toujours été régularisé. Même après déjà 3 mois, on me demande de patienter. J’ai n’aucun moyen d’entrer en relation avec le service financier en charge du sujet. C’est honte. J’arrive me demander si ce n’est pas vol organisé. Aucune réponse n’ai fait à mes mails de relances. Vigilance autres clients qui seraient malgré mon cas tenté de commettre le même acte sur le site de shoromprivée
Je vais continuer la bataille jusqu’au bout.",Négatif,Déception/problème: 'décevant'
1074,5,Positif,0.58,"Rapide , top 👍",Positif,Satisfaction exprimée: 'top'
1135,5,Positif,0.58,"Produit de qualité, prix super intéressant. Livraison rapide.
Top !",Positif,Satisfaction exprimée: 'super'
567,2,Neutre,0.59,"Il y a eu beaucoup de retard sur la livraison de ma commande... une fois arrivée l'article est endommagé ! J'ai fait un message au site je n'ai toujours pas de retour
Mauvaise expérience",Négatif,Signal négatif fort: 'mauvaise expérience'
685,3,Neutre,0.59,"Je suis un peu déçue par l’article que j’ai reçu ; ce n’est pas la qualité qui est en cause mais il est beaucoup trop grand .
Je prends toujours une taille 40 mais on est sur d’avantage sur une taille 44 .",Négatif,Déception/problème: 'déçu'
339,1,Négatif,0.6,Retard de livraison et les produits ne correspondent pas,Négatif,Déception/problème: 'retard'
571,2,Neutre,0.6,Tout était super jusqu'au jours où ils ont décidé d'enlever l'offre infinity des livraisons à 6€ bien trop chères... Quand j'ai commencé à acheter elle était à 1€99 avant COVID ....donc je vais retourner en boutique et surtout faire des économies.....,Négatif,"Avis mixte, note 2/5 → Négatif"
628,3,Neutre,0.6,La commande et la livraison top. Seul l article acheté était de très mauvaise qualité.,Négatif,Signal négatif fort: 'très mauvais'
638,3,Neutre,0.6,"Produits OK transport ZERO - Pour la qualité des produits reçus, rien a dire, par contre, niveau transport... C'est de pire en pire
Les colis sont abîmés, éventrés. Les liquides ont un peu coulés.
J'avais pour habitude d'acheter des cookies, mais c'est fini, deux fois de suite, je les ai reçus en miettes.
C'est bien dommage.",Négatif,Signal négatif fort: 'de pire en pire'
1061,5,Neutre,0.6,Commande reçu au top mais livraison assez longue et frais de port à payer,Positif,Satisfaction exprimée: 'au top'
1116,5,Neutre,0.6,Expérience positive - Prestation rapide et livraison impeccable,Positif,Signal positif fort: 'impeccable'
238,1,Neutre,0.61,"A fuir ! Très mauvaises expérience - Très mauvaises expérience
À fuir
Je suis passée par show-room pour commander un voyage tout compris : 15 jours avant le départ, je reçois les informations pour m’enregistrer au niveau des compagnies aériennes, sauf que show-room a transféré les mauvaises infos à la compagnie aérienne, je ne pouvais donc pas pu enregistrer l’un de mes enfants qu’ils avaient déclaré comme adulte !
J’ai dans un premier temps, appelé la compagnie aérienne qui m’a indiqué que pour tout changement, cela impliquait une refacturation !
J’ai donc contacté le service client de show-room 10 jours avant mon départ pour qu’il fasse le nécessaire puisque le problème venait d’eux à la base
Nous sommes J-1 avant le départ, show room ne trouve aucune solution à mon problème ils font les morts et m’ont baladé pendant près de 10 jours en m’expliquant tous les jours lors de mes appels qu’il fallait que j’attende, attende, attende, attende…
J’ai dû finalement me débrouiller par mes propres moyens, payer les frais supplémentaires et passer des appels surtaxés à la compagnie aérienne
Manque de considération complet par le service client de show-room",Négatif,Signal négatif fort: 'à fuir'
343,1,Neutre,0.61,"site a éviter - Je ne commanderai plus jamais sur Showroomprivé et je vous le déconseille vivement. Vraiment, site à éviter et à fuir.
J’ai commandé un Dyson il y a 2 semaines, sauf qu’ils se sont amusés à en vendre plus que ce qu’ils avaient en stock.
Résultat : je dois attendre qu’ils le reçoivent à nouveau.
J’ai contacté le service client, mais ils rejettent la faute sur le vendeur et me disent qu’il est impossible d’annuler la commande.
Et maintenant, je reçois un mail me disant que je suis censé avoir reçu ma commande, alors que ce n’est pas le cas.
De plus, le statut de livraison n’a pas bougé et je n’ai aucune information sur le suivi.",Négatif,Signal négatif fort: 'à fuir'
