"id","verbatim","rating","manual_label","label_confidence","issue_type","is_mixed","justification_courte"
"17","Showroomprive propose des bonnes choses et j'aime beaucoup le site qui est très agréable à tous les niveaux","4","Positif","Moyenne","Aucun","False","Signal positif: j'aime"
"18","Site très sympa proposant une multitude d’articles à des prix très intéressants je recommande fortement ce site","5","Positif","Haute","Aucun","False","Satisfaction claire: je recommande"
"19","Jamais été déçue","5","Positif","Haute","Aucun","False","Corrigé: Négatif → Positif (incohérence rating/sentiment)"
"20","Bon rapport qualité prix - Toujours un plaisir de commander sur le site. Par contre pour cette commande l'emballage du colis était défectueux bien qu'il y avait tous les articles et ils étaient tous en Bon état.","3","Positif","Moyenne","Aucun","False","Signal positif: bon rapport qualité"
"21","Rapide aucun probleme","5","Positif","Faible","Aucun","False","Note 5/5, satisfaction implicite"
"22","Achat d'un chemisier de marque italienne en taille 48 équivalent FR 44
de bonne qualité.","4","Positif","Moyenne","Aucun","False","Signal positif: bonne qualité"
"23","Showroom privé propose des produits et des marques toujours intéressantes !","5","Positif","Faible","Aucun","False","Note 5/5, satisfaction implicite"
"24","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"25","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"26","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"27","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"28","Prudence si vous commandez sur SHOWROOM et que c'est un autre expéditeur j'ai reçu un colis D'AFRIQUE du Sud un petit caba en PVC au lieu d'une paire de bascket en cuir blanc 6 message à l'expéditeur pour avoir mon remboursement il dit ( ne pas comprendre) je ne laisserai pas tomber je veux être remboursé !!","1","Négatif","Faible","Livraison retardée","False","Note 1/5, insatisfaction implicite"
"29","Insatisfaction totale - Bonjour je n'ai pas dutout été satisfaite de la commande Prettylittlethink car taille trop petit malgré 1 taille au dessus,il manque des articles ou pas le bon article commandé.
J'ai dû faire plusieurs réclamations au sav pour chaque problème et on ne m'a répondu que pour 1 seul...","1","Négatif","Moyenne","Produit non conforme","True","Signal négatif: problème"
"30","La date de livraison n a pas ete respectee!
C etait pour un Anniversaire!
Commande effectuee le 24 avril, livraison prevue le 6 mai. A ce jour toujours rien recu!!!
Commande 345524530.","1","Négatif","Moyenne","Livraison retardée","False","Signal négatif: toujours rien"
"31","Serveur erreur de saisie reconnue, modification à prix initial refusée malgré un signalement en 8 minutes - Réservation d'un séjour à 1 633 € le 4 mai. Erreur de date constatée dans les minutes suivant la confirmation, signalée par mail au service client huit minutes après la réservation. Au moment du signalement, le même séjour aux dates souhaitées était proposé sur le site au même tarif (capture d'écran conservée).

Le service client a mis plusieurs jours à traiter la demande, en présentant lui-même ses « excuses pour le délai de traitement ». Entre-temps, l'offre identique à prix égal a expiré. Le service client demande maintenant un supplément de 494 € + des frais de modification non chiffrés pour effectuer le changement de dates, alors que :
— le partenaire hébergeur confirme oralement que le tarif est identique pour les deux périodes ;
— l'expiration de l'offre identique sur leur propre site résulte exclusivement du délai de traitement, reconnu par leurs services.

Dossier transmis à SignalConso. Saisine du Médiateur de la consommation FEVAD en préparation. Article L.211-14 du Code du tourisme : les frais de modification doivent être « appropriés et justifiables ».

À éviter pour qui ne veut pas risquer plusieurs centaines d'euros suite à une simple erreur de clic, même signalée dans la minute.","1","Négatif","Haute","Livraison retardée","False","Corrigé: Positif → Négatif (incohérence rating/sentiment)"
"32","J’ai commandé un blouson , j’ai reçu un short","1","Négatif","Faible","Autre","False","Note 1/5, insatisfaction implicite"
"33","Très mécontente tout les prix de la vente disneyland Paris ont baissé depuis hier. Une personne vous a contacté vous allez lui rembourser la différence. J’espère que vous allez faire de meme pour moi.
Petite mise à jour vous ne voulez pas me rembourser la différence et je ne vous parle pas d’une autre vente de la meme marque mais bel et bien une vente commencé Samedi et qui finira Lundi prochain dès le lancement même pas 3 jours après les prix changent déjà.","1","Négatif","Moyenne","Avis mixte","True","Signal négatif: mécontente"
"34","Voleurs doublés de menteurs - J'ai renvoyé 2 articles pour 111€98 il y a deux mois. A ce jour aucun remboursement. Ils me répondent que le remboursement est parti il y a un mois. La bonne blague, ce sont juste des arnaqueurs, des voleurs. Et quand vous mettez un avis négatif, ils vous répondent qu'ils sont désolés. En plus d'être des voleurs, ce sont des menteurs. Ils ont gagné, je ferme mon compte, pourtant j'étais une bonne cliente. Fuyez ne commandez sur ce site frauduleux.","1","Négatif","Haute","Retour/remboursement","False","Problème concret: arnaque"
"35","Je n'ai jamais reçu mon colis, une enquêre est en cours mais je n'ai aucun espoir de recevoir mon colis.
Il ne m'a pas été remboursé non plys.","1","Négatif","Haute","Livraison retardée","False","Problème concret: jamais reçu"
"36","Franchement le service client au maroc, note 0 j appel depuis ce matin j ai personne, j ai une commande qui devrait être livrer le 8 mai on est le 11 je veux juste avoir des informations, et ce n'est pas la première fois, il faut vraiment revoir le service client","1","Négatif","Faible","Service client","False","Note 1/5, insatisfaction implicite"
"37","Tit Pratiques abusives, chantage au délai et service client déplorablere - Note : ⭐ (1/5)
Je déconseille fortement Showroomprivé Voyage. Suite à une annulation de vol Showroomprive voyage m'a imposé (changement de compagnie et d'aéroport), j'ai été victime d'un véritable chantage au chronomètre.

L'agence a volontairement fait traîner les échanges par mail, laissant ainsi expirer les options d'hébergement et augmenter les prix des billets, pour ensuite refuser toute prise en charge des frais supplémentaires (parking, transport, location de voiture) sous prétexte qu'ils payaient déjà la différence du billet !

Face à cet ultimatum de confirmation forcée imposé par leur conseillère (Alexandra), j'ai dû annuler mon séjour par retour de mail avant 16h donc j'ai officiellement demandé l'annulation totale et le remboursement intégrale. Mais showroom privé voyage dont Alexandra fait ""le mort"" depuis, malgré mes demandes répétées.
Procédure en cours auprès du Médiateur du Tourisme et de la DGCCRF. Fuyez ce site qui ne respecte ni ses clients ni le Code du Tourisme (Art. L211-17).""
Merci pour vos excuses, mais elles arrivent bien tard. Il a fallu que je publie cet avis pour qu'enfin mon dossier (soit traité, après avoir été ignorée par mail pendant que votre service voyage me mettait sous pression et annuler suite aux charges qui me soient impactees de votre faute etant donnees les retours tardives de mails! Donc vos excuses ne changeront rien","1","Négatif","Moyenne","Service client","True","Problème concret: service client déplorable"
"38","Mon colis n'a pas été livré dans le point relais près de chez moi (je n'ai pas de voiture pour me déplacer) et de plus dans un commerce ouvert du mardi au vendredi de 10H à 19H (je travaille de 9H à 19H) ce qui m'a obligé à poser une demie journée de congé pour le récupérer !","1","Négatif","Faible","Livraison retardée","False","Note 1/5, insatisfaction implicite"
"39","Je mets une étoile parce que je ne peux pas en mettre moins. Je suis cliente depuis des années, j'ai renvoyé une commande de 111,98€ il y a 2 mois, ils m'ont dit qu'ils allaient me rembourser mais à ce jour rien. Si vous tenez à votre argent, ne commandez pas sur ce site, c'est une grosse arnaque !!!!","1","Négatif","Moyenne","Avis mixte","True","Problème concret: arnaque"
"40","Service après vente incompétent! Article défecteux et garantie légale de conformité non respectée. Je ne recommande pas ce site!","1","Négatif","Haute","Service client","False","Problème concret: incompétent"
"41","J’ai commandé une paire de basket ( qui me plaisent beaucoup).
En ouvrant la boîte je m’aperçois qu’il y a un antivol sur la chaussure gauche !
J’informe le site qui me dit que je dois aller dans un magasin avec ma facture afin de retirer l’antivol.
Une plus d’antivol j’essaye les baskets et je m’aperçois qu’il y a une chaussure qui taille 37 ( la taille que j’ai commandé) mais l’autre est en taille 36 !!!
Ce n’est vraiment pas sérieux….
J’attends une solution","1","Négatif","Haute","Produit non conforme","False","Corrigé: Positif → Négatif (incohérence rating/sentiment)"
"42","A fuir ! Très mauvaises expérience - Très mauvaises expérience
À fuir
Je suis passée par show-room pour commander un voyage tout compris : 15 jours avant le départ, je reçois les informations pour m’enregistrer au niveau des compagnies aériennes, sauf que show-room a transféré les mauvaises infos à la compagnie aérienne, je ne pouvais donc pas pu enregistrer l’un de mes enfants qu’ils avaient déclaré comme adulte !
J’ai dans un premier temps, appelé la compagnie aérienne qui m’a indiqué que pour tout changement, cela impliquait une refacturation !
J’ai donc contacté le service client de show-room 10 jours avant mon départ pour qu’il fasse le nécessaire puisque le problème venait d’eux à la base
Nous sommes J-1 avant le départ, show room ne trouve aucune solution à mon problème ils font les morts et m’ont baladé pendant près de 10 jours en m’expliquant tous les jours lors de mes appels qu’il fallait que j’attende, attende, attende, attende…
J’ai dû finalement me débrouiller par mes propres moyens, payer les frais supplémentaires et passer des appels surtaxés à la compagnie aérienne
Manque de considération complet par le service client de show-room","1","Négatif","Haute","Service client","False","Problème concret: à fuir"
"43","Très mauvais Conditionnement.
Protection de l article quasi inexistant (carton plié pendant le transport heureusement que c était pas du verre du coup l article était déformé)
Les vis était en vrac dans le carton d ailleurs il en manquait une.
De plus au niveau du transport j avais choisi en relais pour être libre de récupérer mon article selon mes horaires et là message me disant que le relais choisi est indisponible on me fait patienter 1 semaine supplémentaire pour m indiqué un nouveau point (centre de tri postal)situé a 8km de chez moi avec des horaires d ouverture uniquement le matin
pour info il y a un centre de tri a 500 m de mon domicile ainsi qu une agence a 1km super logistique !!!!","1","Négatif","Moyenne","Avis mixte","True","Problème concret: très mauvais"
"44","Très mauvaise expérience avec Showroomprivé concernant ma commande n°342473679.

J’ai retourné mes articles avec l’étiquette retour fournie par leurs services et le colis a bien été pris en charge par leur transporteur. Malgré cela, Showroomprivé refuse mon remboursement en affirmant que le colis était vide à réception.

Les photos qu’ils m’ont transmises ne correspondent même pas à mon colis et aucune preuve sérieuse ne permet d’identifier mon retour (pas d’étiquette visible, pas de numéro de suivi, pas de preuve de poids ou de constat transporteur).

Je trouve inadmissible qu’un client doive subir un problème logistique entre l’enseigne et son transporteur alors que toutes les démarches demandées ont été respectées.

Dossier désormais transmis au médiateur et signalement effectué via SignalConso.

Je déconseille fortement","1","Négatif","Haute","Livraison retardée","False","Problème concret: inadmissible"
"45","Une honte si vous rajoutez un petit article dans votre commande les frais de port passe de 6 à 30€ il faut m’expliquer là car il ne s’agit pas d’un article volumineux. J’ai du refaire une commande et repayer des frais de port une honte.","1","Négatif","Faible","Frais livraison","False","Note 1/5, insatisfaction implicite"
"46","La livraison s est faite à la mauvaise adresse donc pas réceptionnée j' ai Fait le nécessairetoujours pas de livraison je demande un remboursement de suite merci","1","Négatif","Faible","Livraison retardée","False","Note 1/5, insatisfaction implicite"
"47","Jamais reçu ma commande, showroom s’en lave les mains, grosse arnaque","1","Négatif","Haute","Livraison retardée","False","Problème concret: arnaque"
"48","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"49","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"50","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"51","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"52","Je n'ai jamais reçu mon colis . - Je n'ai jamais reçu mon colis. Il a été expédié en Martinique alors que je suis de l'île de la Reunion.","1","Négatif","Haute","Livraison retardée","False","Problème concret: jamais reçu"
"53","Expérience d'achat décevante - J'ai commandé en date du 22 avril une paire de mules Birkenstock en taille 38. J'ai reçu ce jour (7/05) les dites Birkenstock en taille 36. Lorsque j'appelle le service client de Showroomprivé il m'est indiqué qu'aucun échange ne peut être fait alors même que l'erreur concernant la taille et du fait de Showroomprivé. La seule proposition faite résulte en un remboursement du produit. Je m'attendais à ce que Showroomprivé répare son erreur et renvoi un produit conforme. De plus, j'ai du quémander un geste commercial suite à leur erreur, alors que la logique aurait voulu qu'ils le proposent d'eux-même. Le conseiller n'était pas en mesure de me donner plus de détail sur le geste qui sera réalisé suite à ma demande (montant du geste commercial). J'ai commandé plusieurs fois auparavant sans désagrément, mais je suis déçue aujourd'hui de la gestion mise en place par Showroomprivé pour ce genre d'erreur et je tenais à le faire savoir.","1","Négatif","Moyenne","Service client","False","Signal négatif: déçu"
"54","Demande de prise en charge - Bonjour,

J'ai acheté sur un mini blender HKoenig le 22/09/2024 (commande n°315941901).

Mon appareil est actuellement en panne.
Je vous ai contacté le 04 mai afin de connaître la procédure à suivre, mais vous m’avez renvoyée vers le fabricant.

Le SAV fabricant me demande de prendre en charge les frais d’envoi du produit pour réparation.
Conformément aux articles L217-3 et suivants du Code de la consommation, la garantie légale de conformité relève du vendeur, en l’occurrence Showroomprivé, et non du fabricant.

L’appareil ayant été acheté il y a moins de deux ans, je vous demande donc la prise en charge de sa mise en conformité dans le cadre de la garantie légale, y compris les frais nécessaires au retour du produit, conformément à l’article L217-11 du Code de la consommation qui prévoit que : «la mise en conformité du bien a lieu sans aucun frais pour le consommateur».

Je souhaite donc savoir comment obtenir une étiquette de retour prépayée.

Je vous remercie par avance pour votre retour.","1","Négatif","Faible","Service client","False","Note 1/5, insatisfaction implicite"
"55","Bonjour je viens de rentré à mon domicile l application me dit que mon colis est arrivé et j ai rien j ai passé commande le 17 avril 2026","1","Négatif","Faible","Livraison retardée","False","Note 1/5, insatisfaction implicite"
"56","Je reçois un bon dachat pour mon anniversaire sauf qu’il ne s’active pas on me dit qu’il faut que j’attende 15 jours la reponse du service financier. Je veux commander dans 15 jours la vente sera fini depuis longtemps. Service client à fuir, inexistant.","1","Négatif","Haute","Service client","False","Problème concret: à fuir"
"57","colis livré sans aucun professionnalisme l erreur est humaine mais là le je m'en foutisme prédominait manque un lacet tache sombre sous la semelle mettant mon imagination à rude epreuve (je n'ai pas voulu confirmer par l'odorat ni le gout d'ailleurs) boite à chaussure maintenue par un élastique code barre scotché à la main
bout de papier avec inscription manuelle et déchiré grossièrement scotché à la va vite également erreur passagére gains à tout pris au detriment des gens la politique de retour nous le dira","1","Négatif","Faible","Livraison retardée","False","Note 1/5, insatisfaction implicite"
"58","Client de longue date j’aimais vraiment ce site. Mes deux dernières commandes une vrai catastrophe pas de QR code un service client qui me raccroche deux fois au nez plus jamais !!!!","1","Négatif","Haute","Service client","False","Problème concret: plus jamais"
"59","Vous envoyez un bon d’achat pour les anniversaire mais c’est impossible de le télécharger.","1","Négatif","Faible","Application/site","False","Note 1/5, insatisfaction implicite"
"60","J ai acheté des chaussures que je n ai jamais reçues 64 euros
Donc je me désabonné de Shooromprive","1","Négatif","Haute","Livraison retardée","False","Problème concret: jamais reçu"
"61","Abonnement infinity arrêté sans avoir été informé prealablement et cgv d’octobre 2025 indique toujours que l’abonnement infinity existe ?!?! Cliente depuis plus de 10 ans j’aimerai savoir ce qu’il se passe et pourquoi aucune communication ???","1","Négatif","Haute","Service client","False","Corrigé: Positif → Négatif (incohérence rating/sentiment)"
"62","pas la bonne couleur - une veste en croûte de cuir de chèvre censée être de couleur ""camel"" et reçue en couleur ""chocolat"" ...
lamentable!","1","Négatif","Haute","Produit non conforme","False","Problème concret: lamentable"
"63","Pour moi c'est une première fois que j'achète un voyage sur ce site et niveau prix sa reste raisonnable mais sans savoir que vous aurez des frais supplémentaires a l'arrivée a l'hôtel donc faites bien attention dites vous que vous devez rajouter en plus du prix que vous effectuez sir le site. Très déçu car j'étais très surpris c'est pas prévu dans mon budget. Le site n'est malheureusement pas transparent avec les clients.","1","Négatif","Moyenne","Avis mixte","True","Problème concret: très déçu"
"64","J'ai reçu les lunettes guess sans étui ni garanti ni rien comme si imitation","1","Négatif","Faible","Produit non conforme","False","Note 1/5, insatisfaction implicite"
"65","Déçu - J'ai passé une commande et, environ une semaine plus tard, j'ai reçu un message m'indiquant que je ne recevrais pas deux articles. Le problème, c'est qu'il s'agit des articles les plus importants de la commande.","1","Négatif","Moyenne","Autre","False","Signal négatif: déçu"
"66","Commande incomplète - J’ai commandé une brosse à dents électrique et des brossettes de rechange. Je n’ai reçu que les brossettes sans la brosse à dents !!!
Bravo !!!","1","Négatif","Moyenne","Commande incomplète","True","Signal négatif: commande incomplète"
"67","Rien ne s’est bien passé… au final annulation de ma commande … manque de respect du prestataire et au final manque de respect de showroomprive. Perdre un client n’a finalement aucune importance","1","Négatif","Haute","Commande incomplète","False","Problème concret: nul"
"68","très déçue de cette commande ,les 2 sacs sont laids et ,par rapport à la photo ,je vais d'ailleurs les retourner","1","Négatif","Haute","Retour/remboursement","False","Problème concret: très déçu"
"69","ARNAQUE SHOWROOMPRIVÉ : J'AI REÇU UNE BOÎTE VIDE POUR UNE MONTRE MATHEY TISSOT À 3 265 DH ET 70 JOURS APRÈS RÉCLAMATION ON M'A REFUSÉ LE REMBOURSEMENT - Commande n°341694498 – Montre Mathey-Tissot – boîte reçue VIDE le 20/02/2026.

✅ Signalement immédiat : Photos et SMS envoyés le jour même de la réception.
✅ Obligations remplies : Colis retourné via Amana le 05/03 à leur demande (Livré chez eux le 09/03).
✅ Absurdité : Promesse de résolution orale le 7 avril – non tenue.

Leur réponse finale du 29/04 : ""l'article a été livré conforme."" Aucune preuve fournie : ni pesée au départ, ni vidéo de préparation.

Je suis une cliente fidèle avec 20 900 DH de commandes cumulées. Apparemment, chez ShowroomPrivé Maroc, la fidélité ne protège pas du mépris.

⚖️ Dossier officiel déposé au Portail National du Consommateur – N°5347295.

Fuyez ce site. Si vous recevez du vide, ils garderont votre argent","1","Négatif","Haute","Livraison retardée","False","Problème concret: arnaque"
"70","Première commande sur Showroomprive et très déçue. Je remarque une vente de la marque Chantelle, je connais la marque et j’ai des ensembles lingerie Chantelle achetés en boutique. Je connais parfaitement ma taille dans cette marque, confiante je commande un soutien-gorge et une culotte. Hier je reçois mes achats et j'essaye le soutien-gorge, ma potrine déborde et le dos est très serré. Erreur de taille je regarde les étiquettes et c’est bien ma taille. Je compare avec le dernier soutien-gorge Chantelle acheté dans une lingerie au mois de décembre 2025 et là effectivement le soutien-gorge reçu est beaucoup plus petit, il manque 5 bon cm pour le dos et les bonnets sont plus petits. Je n’essaye même pas la culotte puisque le soutien-gorge ne me va pas. Je fais une demande de retour évidemment à mes frais, puisque mon problème ne rentre pas dans les cases étiquettes gratuites pour un retour. Finalement je pensais faire une bonne affaire en achetant un ensemble à 38,29 € frais d'envoi compris et je me retrouve à perdre de l’argent puisque je serai remboursée normalement pour les articles mais pas pour les frais d’envoi. Tant pis pour moi, j’aurai dû me douter qu’il y avait un lézard. Je pense que le site propose des articles de la marque qui ont des défauts et donc invendables pour la vente en boutique de lingerie.","1","Négatif","Moyenne","Avis mixte","True","Problème concret: très déçu"
"71","J’ai commandé 3 articles pour ma fille sur Showroomprivé. Les tailles ne convenant pas, j’ai effectué un retour dans les délais, en respectant scrupuleusement la procédure indiquée.

Aujourd’hui, le service client refuse de me rembourser en prétendant que le colis retourné serait vide. Je conteste formellement cette accusation.

Je précise également que je ne suis pas responsable du transport du colis une fois celui-ci remis au transporteur, comme le prévoit la réglementation. J’ai bien retourné l’intégralité des articles, et je dispose de la preuve de dépôt.

Il est inadmissible de faire porter au client la responsabilité d’un éventuel problème logistique ou de transport.

Je suis très déçue par cette situation et par l’absence de solution proposée. Je demande un remboursement rapide et une prise en charge sérieuse de ce litige","1","Négatif","Haute","Service client","False","Problème concret: inadmissible"
"72","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"73","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"74","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"75","","1","Négatif","Faible","Aucun texte","False","Aucun verbatim; label déduit de la note"
"76","Je met 1 étoile pour car je ne peux pas mettre 0 j’ai passé commande je devais recevoir mon colis le 18 avril toujours rien ils ne savent pas ou est mon colis il n’a toujours pas été remis au transporteur.L’organisation est une catastrophe j’attend toujours une réponse ….A fuir","1","Négatif","Moyenne","Livraison retardée","False","Signal négatif: toujours rien"
"77","A fuir ! - Je commandais régulièrement chez Showroom auparavant, mais depuis un an, la logistique et le service client se sont nettement dégradés. Les frais de livraison ne sont déjà pas très compétitifs, mais en plus, le point relais sélectionné est souvent modifié, et généralement plus éloigné. Quel est l’intérêt ?

Quant au service client, il est peu aidant : lorsqu’on les contacte, on nous répond qu’ils ne peuvent rien faire, avec en prime une attitude parfois désagréable.

Bref, cela me servira de leçon : Showroom, c’est terminé pour moi. Je ne commanderai plus et me tournerai désormais vers des enseignes plus respectueuses de leurs clients.","1","Négatif","Haute","Service client","False","Problème concret: ne commanderai plus"
"78","TRES MAUVAISE EXPÉRIENCE !!! - Commande en 2 parties la 2ème n'a jamais été livrée !! Je dois en plus patienter 2 mois pour être remboursée !!
Service client n'apporte pas de solution !!
TRÈS DÉÇUE ET EN COLÈRE !!!","1","Négatif","Haute","Service client","False","Problème concret: très déçu"
"79","Déception. - Qualité de la reproduction médiocre. Pour moi cette article ne devrait même pas être vendable .","1","Négatif","Moyenne","Produit non conforme","False","Signal négatif: déception"
"80","Ne recommande absolument pas ! - Commande A-4363128-1-A : expérience très décevante.

Colis déclaré livré avec signature, mais je n’ai jamais reçu la commande.

Les éléments transmis montrent :

une photo prise devant un domicile qui n’est pas le mien,

une signature qui ne correspond pas à la mienne.

Malgré plusieurs relances, une mise en demeure et un signalement SignalConso, on me renvoie vers le vendeur partenaire en considérant la livraison comme valide.

Je demande simplement une résolution normale : remboursement ou nouvelle expédition pour une commande non reçue.

J’espère qu’un responsable du service client pourra enfin examiner ce dossier sérieusement.

Mise à jour :

Showroomprivé m’indique que la commande serait livrée, tout en me renvoyant vers le vendeur partenaire, puis en précisant qu’ils vont relancer leur propre service.

Aucune solution concrète n’est proposée à ce jour.

Je rappelle que :

* je n’ai jamais reçu la commande,
* la photo de livraison montre un autre domicile,
* la signature ne correspond pas à la mienne.

Le dossier reste donc non résolu malgré les réponses.

Mise à jour 04/05/2026:

Je reçois maintenant un message indiquant la fermeture prochaine de ma réclamation, alors que le problème reste non résolu.

Aucune solution concrète ne m’a été apportée à ce jour malgré :

* colis non reçu
* photo de livraison d’un autre domicile
* signature non conforme

Le dossier est donc toujours en attente de résolution","1","Négatif","Moyenne","Livraison retardée","True","Problème concret: jamais reçu"
"81","Un article sur 4 a été supprimé de ma commande sans explications …","1","Négatif","Faible","Commande incomplète","False","Note 1/5, insatisfaction implicite"
"82","La taille du maillot de bain n est pas celle annoncée à la commande. Je ne reçois pas le bon de retour et je ne peux joindre personne !! C est la catastrophe","1","Négatif","Faible","Service client","False","Note 1/5, insatisfaction implicite"
"83","Je n’ai jamais reçu ma commande, le service client a juste contacté le transporteur, qui a confirmé que la livraison avait été faite, et donc ils m’ont dit que j’avais bien été livré et point. Donc je me suis fait voler au final..","1","Négatif","Haute","Livraison retardée","False","Problème concret: jamais reçu"
"84","Déception - J’ai effectué une commande sur Showroom le 21/04/26 celle ci aurait du arriver le 25/04/26 en point relais et à ce jour le 27/04/26 ma commande n’a toujours pas été traitée et expédiée,le service client téléphonique toujours pareil les mêmes réponses:Ce n’est pas de notre ressort ce sont nos prestataires….Au téléphone ce matin la dame parler comme un robot et très expéditif.
C’est honteux vue les tarifs de livraison qui sont très élevés,on ne m’a proposé aucun geste commercial ni même le remboursement de la livraison,ce n’est pas normal!
De plus comme j’ai expliqué à cette dame au téléphone:si je n’avais pas appelé et écris au service client,personne chez Showroom ne m’aurait prévenu du retard de ma commande où d’un éventuel problème.
Cette dame m’a répondu:C’est vous qui êtes responsable de vos commandes.
Je n’ai jamais vue et entendu cela de ma vie depuis le temps que je commande en ligne.
Je suis cliente fidèle et de longue date chez Shwooroom et je constate que depuis quelques temps il y a beaucoup de problèmes de ce genre qui arrive et répétitif.
J’avais dit que je ne commanderais plus chez eux et je suis revenu sur ma décision car il est vrai que mis à part tout ces problèmes ils ont tout de même de belles ventes à des tarifs attractif mais c’est vraiment dommage.
Commander avec l’angoisse de ne pas recevoir ta commande car cela aussi est déjà arriver,une commande stipulé livré alors qu’elle ne met jamais parvenu.
Qu’elle angoisse ne pas être sur de recevoir sa commande,qu’elle soit en retard,aucun remboursement des frais de ports élevé,un service client téléphonique expéditif limite ont dérange,d’où le fait d’avoir attendu deux jours avant d’appeler,bref une angoisse pour tout alors que cela devrait être un plaisir.","1","Négatif","Haute","Livraison retardée","False","Problème concret: honteux"
"85","Erreur de taille - J’ai commander des chaussures taille 42 et j’ai reçu des chaussures indiquant taille 42,5 et faisant réellement taille 41.","1","Négatif","Faible","Produit non conforme","False","Note 1/5, insatisfaction implicite"
"86","Acheté des lunettes de soleil sur ce site, prix affiché 54,95€...prix payé 75,90€. Service client incompétent jamais plus sur ce site...super votre réponse...aussi inutile qu'au téléphone","1","Négatif","Moyenne","Service client","True","Problème concret: incompétent"
"87","N'achetez jamais les valises Pierre Cardin sur Showroomprivé - J'ai acheté des valises Pierre Cardin supposées être en Polycarbonate. Il n'en est rien.
Cassée presque en miette dès le 1er voyage en avion. Le pire, j'ai acheté 2 lots et sur 300€, ils me proposent 50€ de dédommagement que j'ai refusé.
Je viens de voir qu'ils les ont remis en vente. Ne vous faites pas avoir.","1","Négatif","Moyenne","Produit non conforme","False","Signal négatif: dommage"
"88","En présence du livreur, j'ai ouvert livreur colis, le coffre était tout rayé.
Je suis déçue.","1","Négatif","Moyenne","Livraison retardée","False","Signal négatif: déçu"
"89","Je ne reçois pas la bonne pointure de chaussures commandées, et impossible de recommander plus disponible.
Très déçu.","1","Négatif","Haute","Produit non conforme","False","Problème concret: très déçu"
